"country","city"
"Japan","Kanazawa"
"Japan","Koriyama"
"Japan","Kurashiki"
"Japan","Kuwana"
"Japan","Matsue"
"Japan","Miyakonojo"
"Japan","Nagareyama"
"Japan","Okayama"
"Japan","Okinawa"
"Japan","Omiya"
"Japan","Onomichi"
"Japan","Otsu"
"Japan","Sagamihara"
"Japan","Sasebo"
"Japan","Shimonoseki"
"Japan","Tama"
"Japan","Tsuyama"
"Japan","Ueda"
"Japan","Urawa"
"Kazakstan","Pavlodar"
"Kazakstan","Zhezqazghan"
"Kenya","Kisumu"
"Kenya","Nyeri"
"Kuwait","Jalib al-Shuyukh"
"Latvia","Daugavpils"
"Latvia","Liepaja"
"Liechtenstein","Vaduz"
"Lithuania","Vilnius"
"Madagascar","Mahajanga"
"Malawi","Lilongwe"
"Malaysia","Ipoh"
"Malaysia","Kuching"
"Malaysia","Sungai Petani"
"Mexico","Acua"
"Mexico","Allende"
"Mexico","Atlixco"
"Mexico","Carmen"
"Mexico","Celaya"
"Mexico","Coacalco de Berriozbal"
"Mexico","Coatzacoalcos"
"Mexico","Cuauhtmoc"
"Mexico","Cuautla"
"Mexico","Cuernavaca"
"Mexico","El Fuerte"
"Mexico","Guadalajara"
"Mexico","Hidalgo"
"Mexico","Huejutla de Reyes"
"Mexico","Huixquilucan"
"Mexico","Jos Azueta"
"Mexico","Jurez"
"Mexico","La Paz"
"Mexico","Matamoros"
"Mexico","Mexicali"
"Mexico","Monclova"
"Mexico","Nezahualcyotl"
"Mexico","Pachuca de Soto"
"Mexico","Salamanca"
"Mexico","San Felipe del Progreso"
"Mexico","San Juan Bautista Tuxtepec"
"Mexico","Torren"
"Mexico","Uruapan"
"Mexico","Valle de Santiago"
"Mexico","Zapopan"
"Moldova","Chisinau"
"Morocco","Beni-Mellal"
"Morocco","Nador"
"Morocco","Sal"
"Mozambique","Beira"
"Mozambique","Naala-Porto"
"Mozambique","Tete"
"Myanmar","Monywa"
"Myanmar","Myingyan"
"Nauru","Yangor"
"Nepal","Birgunj"
"Netherlands","Amersfoort"
"Netherlands","Apeldoorn"
"Netherlands","Ede"
"Netherlands","Emmen"
"Netherlands","s-Hertogenbosch"
"New Zealand","Hamilton"
"Nigeria","Benin City"
"Nigeria","Deba Habe"
"Nigeria","Effon-Alaiye"
"Nigeria","Ife"
"Nigeria","Ikerre"
"Nigeria","Ilorin"
"Nigeria","Kaduna"
"Nigeria","Ogbomosho"
"Nigeria","Ondo"
"Nigeria","Owo"
"Nigeria","Oyo"
"Nigeria","Sokoto"
"Nigeria","Zaria"
"North Korea","Pyongyang"
"Oman","Masqat"
"Oman","Salala"
"Pakistan","Dadu"
"Pakistan","Mandi Bahauddin"
"Pakistan","Mardan"
"Pakistan","Okara"
"Pakistan","Shikarpur"
"Paraguay","Asuncin"
"Paraguay","Ciudad del Este"
"Paraguay","San Lorenzo"
"Peru","Callao"
"Peru","Hunuco"
"Peru","Lima"
"Peru","Sullana"
"Philippines","Baybay"
"Philippines","Bayugan"
"Philippines","Bislig"
"Philippines","Cabuyao"
"Philippines","Cavite"
"Philippines","Davao"
"Philippines","Gingoog"
"Philippines","Hagonoy"
"Philippines","Iligan"
"Philippines","Imus"
"Philippines","Lapu-Lapu"
"Philippines","Mandaluyong"
"Philippines","Ozamis"
"Philippines","Santa Rosa"
"Philippines","Taguig"
"Philippines","Talavera"
"Philippines","Tanauan"
"Philippines","Tanza"
"Philippines","Tarlac"
"Philippines","Tuguegarao"
"Poland","Bydgoszcz"
"Poland","Czestochowa"
"Poland","Jastrzebie-Zdrj"
"Poland","Kalisz"
"Poland","Lublin"
"Poland","Plock"
"Poland","Tychy"
"Poland","Wroclaw"
"Puerto Rico","Arecibo"
"Puerto Rico","Ponce"
"Romania","Botosani"
"Romania","Bucuresti"
"Runion","Saint-Denis"
"Russian Federation","Atinsk"
"Russian Federation","Balaiha"
"Russian Federation","Dzerzinsk"
"Russian Federation","Elista"
"Russian Federation","Ivanovo"
"Russian Federation","Jaroslavl"
"Russian Federation","Jelets"
"Russian Federation","Kaliningrad"
"Russian Federation","Kamyin"
"Russian Federation","Kirovo-Tepetsk"
"Russian Federation","Kolpino"
"Russian Federation","Korolev"
"Russian Federation","Kurgan"
"Russian Federation","Kursk"
"Russian Federation","Lipetsk"
"Russian Federation","Ljubertsy"
"Russian Federation","Maikop"
"Russian Federation","Moscow"
"Russian Federation","Nabereznyje Telny"
"Russian Federation","Niznekamsk"
"Russian Federation","Novoterkassk"
"Russian Federation","Pjatigorsk"
"Russian Federation","Serpuhov"
"Russian Federation","Smolensk"
"Russian Federation","Syktyvkar"
"Russian Federation","Teboksary"
"Russian Federation","Usolje-Sibirskoje"
"Russian Federation","Zeleznogorsk"
"Saint Vincent and the Grenadines","Kingstown"
"Saudi Arabia","Abha"
"Saudi Arabia","al-Hawiya"
"Saudi Arabia","al-Qatif"
"Saudi Arabia","Jedda"
"Saudi Arabia","Tabuk"
"Senegal","Ziguinchor"
"Slovakia","Bratislava"
"South Africa","Boksburg"
"South Africa","Botshabelo"
"South Africa","Chatsworth"
"South Africa","Johannesburg"
"South Africa","Kimberley"
"South Africa","Klerksdorp"
"South Africa","Newcastle"
"South Africa","Paarl"
"South Africa","Rustenburg"
"South Africa","Soshanguve"
"South Africa","Springs"
"South Korea","Cheju"
"South Korea","Kimchon"
"South Korea","Naju"
"South Korea","Tonghae"
"South Korea","Uijongbu"
"Spain","A Corua (La Corua)"
"Spain","Donostia-San Sebastin"
"Spain","Gijn"
"Spain","Ourense (Orense)"
"Spain","Santiago de Compostela"
"Sri Lanka","Jaffna"
"Sudan","al-Qadarif"
"Sudan","Omdurman"
"Sweden","Malm"
"Switzerland","Basel"
"Switzerland","Bern"
"Switzerland","Lausanne"
"Taiwan","Changhwa"
"Taiwan","Chiayi"
"Taiwan","Chungho"
"Taiwan","Fengshan"
"Taiwan","Hsichuh"
"Taiwan","Lungtan"
"Taiwan","Nantou"
"Taiwan","Tanshui"
"Taiwan","Touliu"
"Taiwan","Tsaotun"
"Tanzania","Mwanza"
"Tanzania","Tabora"
"Tanzania","Zanzibar"
"Thailand","Nakhon Sawan"
"Thailand","Pak Kret"
"Thailand","Songkhla"
"Tonga","Nukualofa"
"Tunisia","Sousse"
"Turkey","Adana"
"Turkey","Balikesir"
"Turkey","Batman"
"Turkey","Denizli"
"Turkey","Eskisehir"
"Turkey","Gaziantep"
"Turkey","Inegl"
"Turkey","Kilis"
"Turkey","Ktahya"
"Turkey","Osmaniye"
"Turkey","Sivas"
"Turkey","Sultanbeyli"
"Turkey","Tarsus"
"Turkey","Tokat"
"Turkey","Usak"
"Turkmenistan","Ashgabat"
"Tuvalu","Funafuti"
"Ukraine","Kamjanets-Podilskyi"
"Ukraine","Konotop"
"Ukraine","Mukateve"
"Ukraine","ostka"
"Ukraine","Simferopol"
"Ukraine","Sumy"
"United Arab Emirates","Abu Dhabi"
"United Arab Emirates","al-Ayn"
"United Arab Emirates","Sharja"
"United Kingdom","Bradford"
"United Kingdom","Dundee"
"United Kingdom","London"
"United Kingdom","Southampton"
"United Kingdom","Southend-on-Sea"
"United Kingdom","Southport"
"United Kingdom","Stockport"
"United Kingdom","York"
"United States","Akron"
"United States","Arlington"
"United States","Augusta-Richmond County"
"United States","Aurora"
"United States","Bellevue"
"United States","Brockton"
"United States","Cape Coral"
"United States","Citrus Heights"
"United States","Clarksville"
"United States","Compton"
"United States","Dallas"
"United States","Dayton"
"United States","El Monte"
"United States","Fontana"
"United States","Garden Grove"
"United States","Garland"
"United States","Grand Prairie"
"United States","Greensboro"
"United States","Joliet"
"United States","Kansas City"
"United States","Lancaster"
"United States","Laredo"
"United States","Lincoln"
"United States","Manchester"
"United States","Memphis"
"United States","Peoria"
"United States","Roanoke"
"United States","Rockford"
"United States","Saint Louis"
"United States","Salinas"
"United States","San Bernardino"
"United States","Sterling Heights"
"United States","Sunnyvale"
"United States","Tallahassee"
"United States","Warren"
"Venezuela","Barcelona"
"Venezuela","Caracas"
"Venezuela","Cuman"
"Venezuela","Maracabo"
"Venezuela","Ocumare del Tuy"
"Venezuela","Valencia"
"Venezuela","Valle de la Pascua"
"Vietnam","Cam Ranh"
"Vietnam","Haiphong"
"Vietnam","Hanoi"
"Vietnam","Nam Dinh"
"Vietnam","Nha Trang"
"Vietnam","Vinh"
"Virgin Islands, U.S.","Charlotte Amalie"
"Yemen","Aden"
"Yemen","Hodeida"
"Yemen","Sanaa"
"Yemen","Taizz"
"Yugoslavia","Kragujevac"
"Yugoslavia","Novi Sad"
"Zambia","Kitwe"
